comparison_attribute	comparison_left	comparison_sign	comparison_right	comparison_p	gender	age	relationship	privacy
age	13-16	<	29-32	0.0	female	_	_	2
age	13-16	<	37-40	0.0	male	_	_	_
age	13-16	<	37-40	0.0	female	_	_	_
age	13-16	<	37-40	0.0	_	_	_	_
age	13-16	<	37-40	0.0	male	_	_	2
age	13-16	<	37-40	0.0	_	_	_	2
age	17-20	<	25-28	0.0	male	_	Single	_
age	17-20	<	25-28	0.0	_	_	Single	_
age	21-24	<	17-20	0.0	male	_	Single	_
age	21-24	<	17-20	0.0	male	_	Single	2
age	21-24	<	25-28	0.0	male	_	Single	_
age	33-36	<	13-16	0.0	male	_	_	_
age	33-36	<	13-16	0.0	male	_	_	2
age	33-36	<	21-24	0.0	female	_	_	3-4
age	33-36	<	37-40	0.0	male	_	_	_
age	33-36	<	37-40	0.0	male	_	_	2
age	33-36	<	51-60	0.0	male	_	_	_
age	33-36	<	51-60	0.0	male	_	_	2
age	37-40	<	29-32	0.0	female	_	_	_
age	41-50	<	13-16	0.0	female	_	_	_
age	41-50	<	29-32	0.0	female	_	_	_
age	41-50	<	37-40	0.0	female	_	_	_
age	51-60	<	13-16	0.0	male	_	_	_
age	51-60	<	13-16	0.0	male	_	_	2
age	51-60	<	37-40	0.0	male	_	_	_
age	51-60	<	37-40	0.0	male	_	_	2
gender	female	<	male	0.0	_	17-20	Single	_
gender	female	<	male	0.0	_	_	Married	2
gender	female	<	male	0.0	_	17-20	Single	2
gender	female	<	male	0.0	_	13-16	_	2
gender	female	<	male	0.0	_	37-40	_	_
gender	female	<	male	0.0	_	_	_	21-64
gender	female	<	male	0.0	_	13-16	_	_
gender	female	<	male	0.0	_	_	Married	_
privacy	11-20	<	21-64	0.0	_	21-24	_	_
privacy	11-20	<	21-64	0.0	female	21-24	_	_
privacy	11-20	<	3-4	0.0	_	21-24	_	_
privacy	11-20	<	3-4	0.0	female	21-24	_	_
privacy	11-20	<	5-6	0.0	female	21-24	_	_
privacy	21-64	<	5-6	0.0	female	21-24	_	_
privacy	21-64	<	7-10	0.0	female	_	_	_
privacy	21-64	<	7-10	0.0	_	25-28	_	_
privacy	3-4	<	21-64	0.0	_	21-24	_	_
privacy	3-4	<	21-64	0.0	female	21-24	_	_
privacy	3-4	<	21-64	0.0	_	25-28	_	_
privacy	3-4	<	5-6	0.0	female	21-24	_	_
privacy	3-4	<	7-10	0.0	_	25-28	_	_
relationship	Single	<	In a relationship	0.0	_	25-28	_	_
