comparison_attribute	comparison_left	comparison_sign	comparison_right	comparison_p	gender	age	relationship	privacy
age	13-16	>	NOT 13-16	5.4725380206311E-13	female	_	_	_
age	13-16	>	NOT 13-16	3.278259126893588E-11	_	_	_	ALL_FRIENDS
age	13-16	>	NOT 13-16	3.76323354658456E-6	_	_	Single	ALL_FRIENDS
age	13-16	>	NOT 13-16	2.8721141514101336E-4	male	_	_	ALL_FRIENDS
age	13-16	>	NOT 13-16	1.9714781575858583E-5	_	_	Single	_
age	17-20	>	NOT 17-20	5.239308336669663E-10	female	_	In a relationship	_
age	17-20	>	NOT 17-20	9.004928772767503E-9	_	_	_	CUSTOM
age	17-20	>	NOT 17-20	2.2995113135342E-4	female	_	In a relationship	EVERYONE
age	17-20	>	NOT 17-20	2.145782743604148E-8	female	_	In a relationship	ALL_FRIENDS
age	17-20	>	NOT 17-20	6.0543907445108024E-33	_	_	Single	ALL_FRIENDS
age	17-20	>	NOT 17-20	0.003346095330065856	female	_	_	CUSTOM
age	17-20	>	NOT 17-20	0.0	male	_	_	_
age	17-20	>	NOT 17-20	0.004032493800251314	female	_	Single	ALL_FRIENDS
age	17-20	>	NOT 17-20	0.004387559277874976	_	_	In a relationship	FRIENDS_OF_FRIENDS
age	17-20	>	NOT 17-20	1.2275440431336408E-4	male	_	_	CUSTOM
age	17-20	>	NOT 17-20	0.0	female	_	_	_
age	17-20	>	NOT 17-20	1.4337031217799704E-23	male	_	Single	ALL_FRIENDS
age	17-20	>	NOT 17-20	0.0	_	_	_	_
age	17-20	>	NOT 17-20	8.472119742020149E-6	_	_	Single	FRIENDS_OF_FRIENDS
age	17-20	>	NOT 17-20	0.0	male	_	_	ALL_FRIENDS
age	17-20	>	NOT 17-20	7.879051319520575E-7	female	_	_	FRIENDS_OF_FRIENDS
age	17-20	>	NOT 17-20	1.1844913531243295E-21	_	_	_	FRIENDS_OF_FRIENDS
age	17-20	>	NOT 17-20	1.0049810497267587E-5	_	_	Single	CUSTOM
age	21-24	<	NOT 21-24	3.914687799859029E-5	male	_	Single	ALL_FRIENDS
age	21-24	<	NOT 21-24	2.3836999300683663E-11	female	_	Single	CUSTOM
age	21-24	>	NOT 21-24	1.6568323881870496E-20	female	_	In a relationship	ALL_FRIENDS
age	21-24	>	NOT 21-24	9.363581496951784E-4	_	_	Engaged	_
age	21-24	>	NOT 21-24	1.2768197687271355E-8	_	_	_	FRIENDS_OF_FRIENDS
age	21-24	>	NOT 21-24	1.0097957962613018E-10	_	_	Single	FRIENDS_OF_FRIENDS
age	21-24	>	NOT 21-24	0.0031224719741360357	_	_	In a relationship	EVERYONE
age	21-24	>	NOT 21-24	3.207240435421258E-4	female	_	_	FRIENDS_OF_FRIENDS
age	21-24	>	NOT 21-24	0.0	male	_	_	_
age	21-24	>	NOT 21-24	3.521050712189246E-38	female	_	In a relationship	_
age	21-24	>	NOT 21-24	0.0031571843020812614	_	_	Engaged	ALL_FRIENDS
age	21-24	>	NOT 21-24	0.0	female	_	_	_
age	21-24	>	NOT 21-24	9.327919449833477E-57	_	_	Married	ALL_FRIENDS
age	21-24	>	NOT 21-24	0.0	_	_	In a relationship	_
age	21-24	>	NOT 21-24	0.0	male	_	_	ALL_FRIENDS
age	21-24	>	NOT 21-24	2.7101701753166253E-62	_	_	Married	_
age	21-24	>	NOT 21-24	2.275366147679774E-16	female	_	In a relationship	EVERYONE
age	25-28	<	NOT 25-28	2.0041774041175516E-5	female	_	_	FRIENDS_OF_FRIENDS
age	25-28	<	NOT 25-28	1.9074942787336308E-9	female	_	Single	_
age	25-28	<	NOT 25-28	1.5065921556493086E-5	female	_	Single	ALL_FRIENDS
age	25-28	<	NOT 25-28	5.199336353980303E-25	female	_	_	CUSTOM
age	25-28	<	NOT 25-28	3.674526633032551E-17	male	_	_	CUSTOM
age	25-28	<	NOT 25-28	0.0	_	_	Single	_
age	25-28	<	NOT 25-28	3.500608919604489E-45	_	_	Single	CUSTOM
age	25-28	<	NOT 25-28	0.0	male	_	_	ALL_FRIENDS
age	25-28	>	NOT 25-28	0.0	_	_	_	EVERYONE
age	25-28	>	NOT 25-28	5.415791040818679E-14	_	_	Engaged	_
age	25-28	>	NOT 25-28	1.526139576077455E-6	_	_	Married	_
age	25-28	>	NOT 25-28	8.088009886931493E-7	_	_	Engaged	ALL_FRIENDS
age	25-28	>	NOT 25-28	3.436571508238261E-32	_	_	In a relationship	EVERYONE
age	25-28	>	NOT 25-28	2.1666809772784997E-8	female	_	In a relationship	EVERYONE
age	25-28	>	NOT 25-28	2.485493488190177E-5	_	_	Married	ALL_FRIENDS
age	29-32	<	NOT 29-32	0.0	_	_	_	EVERYONE
age	29-32	<	NOT 29-32	0.0	female	_	_	_
age	29-32	<	NOT 29-32	0.0	_	_	_	_
age	29-32	<	NOT 29-32	0.0	_	_	_	ALL_FRIENDS
age	29-32	<	NOT 29-32	0.004888656753054229	female	_	_	CUSTOM
age	29-32	<	NOT 29-32	0.005619408289254426	female	_	In a relationship	EVERYONE
age	29-32	<	NOT 29-32	0.0012783578660684296	_	_	In a relationship	EVERYONE
age	29-32	>	NOT 29-32	4.983871656774123E-12	male	_	_	CUSTOM
age	29-32	>	NOT 29-32	5.959389963164162E-7	_	_	Married	_
age	33-36	<	NOT 33-36	0.0	male	_	_	_
age	33-36	<	NOT 33-36	0.005931709004644683	_	_	Married	_
age	33-36	<	NOT 33-36	0.0	female	_	_	_
age	33-36	<	NOT 33-36	1.2980258487181264E-8	_	_	Single	_
age	33-36	<	NOT 33-36	0.0	_	_	_	_
age	33-36	<	NOT 33-36	1.5173868967663997E-4	_	_	_	FRIENDS_OF_FRIENDS
age	33-36	<	NOT 33-36	0.0	male	_	_	ALL_FRIENDS
age	33-36	<	NOT 33-36	1.6219920673593527E-9	_	_	In a relationship	_
age	33-36	>	NOT 33-36	0.007550347980025137	_	_	Single	ALL_FRIENDS
