aset,bset,class,conf,measure
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 OWN_TELEPHONE=none,CREDIT=bad,0.53,7.01
FOREIGN_WORKER=yes,PURPOSE=new_car INSTALLMENT_COMMITMENT=gt_2d8 OWN_TELEPHONE=none,CREDIT=bad,0.57,6.34
PERSONAL_STATUS=female_div_sep_mar,DURATION=from_17d6_le_31d2 CREDIT_HISTORY=existing_paid PURPOSE=new_car AGE=le_30d2,CREDIT=bad,0.78,6.28
PERSONAL_STATUS=female_div_sep_mar,PURPOSE=new_car EMPLOYMENT=lt_1 EXISTING_CREDITS=le_1d6 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.91,5.5
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 PURPOSE=new_car CREDIT_AMOUNT=le_38848d8 OWN_TELEPHONE=none,CREDIT=bad,0.67,5.4
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 SAVINGS_STATUS=lt_100 OWN_TELEPHONE=none,CREDIT=bad,0.53,5.36
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 PURPOSE=new_car OWN_TELEPHONE=none,CREDIT=bad,0.64,5.15
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 NUM_DEPENDENTS=le_1d2 OWN_TELEPHONE=none,CREDIT=bad,0.54,4.87
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 CREDIT_AMOUNT=le_38848d8 NUM_DEPENDENTS=le_1d2 OWN_TELEPHONE=none,CREDIT=bad,0.53,4.82
PERSONAL_STATUS=female_div_sep_mar,CHECKING_STATUS=from_0_lt_200 PURPOSE=furniture_or_equipment AGE=le_30d2 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.78,4.71
PERSONAL_STATUS=female_div_sep_mar,CHECKING_STATUS=from_0_lt_200 PURPOSE=furniture_or_equipment AGE=le_30d2,CREDIT=bad,0.78,4.71
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 PURPOSE=new_car CREDIT_AMOUNT=le_38848d8,CREDIT=bad,0.57,4.61
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 INSTALLMENT_COMMITMENT=gt_2d8 OWN_TELEPHONE=none,CREDIT=bad,0.63,4.47
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 PURPOSE=new_car SAVINGS_STATUS=lt_100 OWN_TELEPHONE=none,CREDIT=bad,0.63,4.47
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 CREDIT_AMOUNT=le_38848d8 INSTALLMENT_COMMITMENT=gt_2d8 OWN_TELEPHONE=none,CREDIT=bad,0.6,4.23
FOREIGN_WORKER=yes,PURPOSE=new_car INSTALLMENT_COMMITMENT=gt_2d8 RESIDENCE_SINCE=from_1d6_le_2d2 OWN_TELEPHONE=none,CREDIT=bad,0.7,4.22
FOREIGN_WORKER=yes,PURPOSE=new_car INSTALLMENT_COMMITMENT=gt_2d8 RESIDENCE_SINCE=from_1d6_le_2d2,CREDIT=bad,0.7,4.21
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 PURPOSE=new_car CREDIT_AMOUNT=le_38848d8 SAVINGS_STATUS=lt_100,CREDIT=bad,0.6,4.2
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 OTHER_PAYMENT_PLANS=none NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.52,4.18
PERSONAL_STATUS=female_div_sep_mar,DURATION=from_17d6_le_31d2 PROPERTY_MAGNITUDE=real_estate AGE=le_30d2 JOB=skilled,CREDIT=bad,0.75,4.12
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 JOB=skilled,CREDIT=bad,0.57,4.03
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 INSTALLMENT_COMMITMENT=gt_2d8,CREDIT=bad,0.57,3.99
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 SAVINGS_STATUS=lt_100 RESIDENCE_SINCE=gt_2d8,CREDIT=bad,0.55,3.89
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 PURPOSE=new_car OTHER_PAYMENT_PLANS=none,CREDIT=bad,0.55,3.85
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 CREDIT_AMOUNT=le_38848d8 AGE=from_30d2_le_41d4 OWN_TELEPHONE=none,CREDIT=bad,0.63,3.8
FOREIGN_WORKER=yes,PURPOSE=new_car SAVINGS_STATUS=lt_100 INSTALLMENT_COMMITMENT=gt_2d8 OWN_TELEPHONE=none,CREDIT=bad,0.62,3.76
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 EXISTING_CREDITS=le_1d6,CREDIT=bad,0.53,3.76
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 AGE=from_30d2_le_41d4 OWN_TELEPHONE=none,CREDIT=bad,0.62,3.72
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 SAVINGS_STATUS=lt_100 INSTALLMENT_COMMITMENT=gt_2d8 OWN_TELEPHONE=none,CREDIT=bad,0.61,3.71
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 SAVINGS_STATUS=lt_100 NUM_DEPENDENTS=le_1d2 OWN_TELEPHONE=none,CREDIT=bad,0.52,3.69
FOREIGN_WORKER=yes,PURPOSE=new_car CREDIT_AMOUNT=le_38848d8 INSTALLMENT_COMMITMENT=gt_2d8 RESIDENCE_SINCE=from_1d6_le_2d2,CREDIT=bad,0.6,3.64
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 SAVINGS_STATUS=lt_100 AGE=from_30d2_le_41d4 OWN_TELEPHONE=none,CREDIT=bad,0.6,3.64
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 INSTALLMENT_COMMITMENT=gt_2d8 AGE=from_30d2_le_41d4 OWN_TELEPHONE=none,CREDIT=bad,0.9,3.6
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 SAVINGS_STATUS=lt_100 INSTALLMENT_COMMITMENT=gt_2d8,CREDIT=bad,0.59,3.57
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 PURPOSE=new_car NUM_DEPENDENTS=le_1d2 OWN_TELEPHONE=none,CREDIT=bad,0.7,3.54
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 JOB=skilled NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.58,3.52
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 PURPOSE=new_car SAVINGS_STATUS=lt_100 OTHER_PAYMENT_PLANS=none,CREDIT=bad,0.58,3.5
FOREIGN_WORKER=yes,PURPOSE=new_car SAVINGS_STATUS=lt_100 INSTALLMENT_COMMITMENT=gt_2d8,CREDIT=bad,0.58,3.49
PERSONAL_STATUS=female_div_sep_mar,DURATION=from_17d6_le_31d2 PURPOSE=new_car CREDIT_AMOUNT=le_38848d8 AGE=le_30d2,CREDIT=bad,0.76,3.44
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 PURPOSE=new_car SAVINGS_STATUS=lt_100 RESIDENCE_SINCE=gt_2d8,CREDIT=bad,0.57,3.42
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 JOB=skilled OWN_TELEPHONE=none,CREDIT=bad,0.56,3.41
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 CREDIT_AMOUNT=le_38848d8 JOB=skilled OWN_TELEPHONE=none,CREDIT=bad,0.56,3.4
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 EXISTING_CREDITS=le_1d6 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.56,3.38
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 PURPOSE=new_car INSTALLMENT_COMMITMENT=gt_2d8 OWN_TELEPHONE=none,CREDIT=bad,0.83,3.35
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 SAVINGS_STATUS=lt_100 EXISTING_CREDITS=from_1d6_le_2d2,CREDIT=bad,0.55,3.34
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 AGE=from_30d2_le_41d4,CREDIT=bad,0.55,3.31
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 OTHER_PAYMENT_PLANS=none EXISTING_CREDITS=le_1d6,CREDIT=bad,0.54,3.28
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 RESIDENCE_SINCE=gt_2d8 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.54,3.26
PERSONAL_STATUS=female_div_sep_mar,DURATION=from_17d6_le_31d2 INSTALLMENT_COMMITMENT=gt_2d8 PROPERTY_MAGNITUDE=real_estate AGE=le_30d2,CREDIT=bad,0.75,3.25
FOREIGN_WORKER=yes,PURPOSE=new_car INSTALLMENT_COMMITMENT=gt_2d8 PROPERTY_MAGNITUDE=life_insurance OWN_TELEPHONE=none,CREDIT=bad,0.64,3.23
FOREIGN_WORKER=yes,PURPOSE=new_car EMPLOYMENT=from_1_lt_4 INSTALLMENT_COMMITMENT=gt_2d8 RESIDENCE_SINCE=from_1d6_le_2d2,CREDIT=bad,0.64,3.23
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 CREDIT_AMOUNT=le_38848d8 SAVINGS_STATUS=lt_100 INSTALLMENT_COMMITMENT=gt_2d8,CREDIT=bad,0.53,3.22
PERSONAL_STATUS=female_div_sep_mar,PURPOSE=new_car CREDIT_AMOUNT=le_38848d8 EMPLOYMENT=lt_1 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.85,3.21
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 INSTALLMENT_COMMITMENT=gt_2d8 EXISTING_CREDITS=from_1d6_le_2d2 OWN_TELEPHONE=none,CREDIT=bad,0.63,3.16
PERSONAL_STATUS=female_div_sep_mar,DURATION=from_17d6_le_31d2 PURPOSE=new_car AGE=le_30d2 OTHER_PAYMENT_PLANS=none,CREDIT=bad,0.78,3.14
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 HOUSING=own EXISTING_CREDITS=le_1d6,CREDIT=bad,0.52,3.13
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 PURPOSE=new_car CREDIT_AMOUNT=le_38848d8 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.62,3.12
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 PURPOSE=new_car HOUSING=own NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.61,3.05
FOREIGN_WORKER=yes,RESIDENCE_SINCE=from_1d6_le_2d2 PROPERTY_MAGNITUDE=life_insurance EXISTING_CREDITS=le_1d6 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.6,3.03
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 PURPOSE=new_car SAVINGS_STATUS=lt_100 HOUSING=own,CREDIT=bad,0.6,3.03
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 INSTALLMENT_COMMITMENT=gt_2d8 NUM_DEPENDENTS=le_1d2 OWN_TELEPHONE=none,CREDIT=bad,0.6,3.01
PERSONAL_STATUS=female_div_sep_mar,CHECKING_STATUS=lt_0 RESIDENCE_SINCE=from_1d6_le_2d2 HOUSING=own NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.85,3
FOREIGN_WORKER=yes,PURPOSE=new_car INSTALLMENT_COMMITMENT=gt_2d8 OTHER_PAYMENT_PLANS=bank,CREDIT=bad,1,3
FOREIGN_WORKER=yes,PURPOSE=new_car CREDIT_AMOUNT=le_38848d8 INSTALLMENT_COMMITMENT=gt_2d8 OTHER_PAYMENT_PLANS=bank,CREDIT=bad,1,3
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 PURPOSE=new_car SAVINGS_STATUS=lt_100 INSTALLMENT_COMMITMENT=gt_2d8,CREDIT=bad,0.74,2.97
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 SAVINGS_STATUS=lt_100,CREDIT=bad,0.53,2.96
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 AGE=from_30d2_le_41d4 NUM_DEPENDENTS=le_1d2 OWN_TELEPHONE=none,CREDIT=bad,0.73,2.95
PERSONAL_STATUS=female_div_sep_mar,DURATION=from_17d6_le_31d2 CREDIT_AMOUNT=le_38848d8 PROPERTY_MAGNITUDE=real_estate AGE=le_30d2,CREDIT=bad,0.73,2.94
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 SAVINGS_STATUS=lt_100 INSTALLMENT_COMMITMENT=gt_2d8 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.58,2.94
FOREIGN_WORKER=yes,RESIDENCE_SINCE=from_1d6_le_2d2 PROPERTY_MAGNITUDE=life_insurance HOUSING=own EXISTING_CREDITS=le_1d6,CREDIT=bad,0.58,2.93
FOREIGN_WORKER=yes,INSTALLMENT_COMMITMENT=gt_2d8 HOUSING=rent OWN_TELEPHONE=none,CREDIT=bad,0.58,2.92
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.53,2.91
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 SAVINGS_STATUS=lt_100 RESIDENCE_SINCE=gt_2d8 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.58,2.91
FOREIGN_WORKER=yes,RESIDENCE_SINCE=from_1d6_le_2d2 PROPERTY_MAGNITUDE=life_insurance EXISTING_CREDITS=le_1d6,CREDIT=bad,0.58,2.91
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 HOUSING=rent,CREDIT=bad,0.58,2.91
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 JOB=skilled NUM_DEPENDENTS=le_1d2 OWN_TELEPHONE=none,CREDIT=bad,0.58,2.91
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 OTHER_PAYMENT_PLANS=none EXISTING_CREDITS=le_1d6 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.57,2.88
PERSONAL_STATUS=female_div_sep_mar,PURPOSE=new_car EMPLOYMENT=lt_1 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.76,2.86
PERSONAL_STATUS=female_div_sep_mar FOREIGN_WORKER=yes,PURPOSE=new_car EMPLOYMENT=lt_1 NUM_DEPENDENTS=le_1d2,CREDIT=bad,0.76,2.86
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 SAVINGS_STATUS=lt_100 INSTALLMENT_COMMITMENT=gt_2d8 AGE=from_30d2_le_41d4,CREDIT=bad,0.71,2.85
