aset,bset,class,conf,meas
PERSONAL_STATUS=female_div_sep_mar,EMPLOYMENT=from_1_lt_4 INSTALLMENT_COMMITMENT=gt_2d8 PROPERTY_MAGNITUDE=real_estate AGE=le_30d2,CREDIT=bad,0.55,12.09
FOREIGN_WORKER=yes,PURPOSE=new_car CREDIT_AMOUNT=le_38848d8 OWN_TELEPHONE=none,CREDIT=bad,0.47,9.51
FOREIGN_WORKER=yes,PURPOSE=new_car OWN_TELEPHONE=none,CREDIT=bad,0.46,9.29
FOREIGN_WORKER=yes,OTHER_PAYMENT_PLANS=none OWN_TELEPHONE=none,CREDIT=bad,0.3,8.42
PERSONAL_STATUS=female_div_sep_mar,DURATION=from_17d6_le_31d2 PROPERTY_MAGNITUDE=real_estate AGE=le_30d2 OTHER_PAYMENT_PLANS=none,CREDIT=bad,0.72,7.94
FOREIGN_WORKER=yes,CREDIT_AMOUNT=le_38848d8 OTHER_PAYMENT_PLANS=none OWN_TELEPHONE=none,CREDIT=bad,0.27,7.76
FOREIGN_WORKER=yes,PURPOSE=new_car CREDIT_AMOUNT=le_38848d8,CREDIT=bad,0.38,7.62
FOREIGN_WORKER=yes,CREDIT_AMOUNT=le_38848d8 OTHER_PAYMENT_PLANS=none,CREDIT=bad,0.24,7.26
FOREIGN_WORKER=yes,INSTALLMENT_COMMITMENT=gt_2d8 OWN_TELEPHONE=none,CREDIT=bad,0.37,7.17
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 OWN_TELEPHONE=none,CREDIT=bad,0.53,7.01
FOREIGN_WORKER=yes,CHECKING_STATUS=lt_0 CREDIT_AMOUNT=le_38848d8 OWN_TELEPHONE=none,CREDIT=bad,0.53,7
PERSONAL_STATUS=female_div_sep_mar,EMPLOYMENT=from_1_lt_4 PROPERTY_MAGNITUDE=real_estate AGE=le_30d2 JOB=skilled,CREDIT=bad,0.61,6.72
FOREIGN_WORKER=yes,CREDIT_AMOUNT=le_38848d8 INSTALLMENT_COMMITMENT=gt_2d8 OWN_TELEPHONE=none,CREDIT=bad,0.35,6.66
FOREIGN_WORKER=yes,EXISTING_CREDITS=le_1d6 OWN_TELEPHONE=none,CREDIT=bad,0.34,6.6
