@relation example

@attribute id numeric
@attribute gender {female,male}
@attribute age_category {21-24,33-36,25-28,51-80,17-20,29-32,37-50,13-16}
@attribute relationship {Single,Married,'In a relationship',Engaged}
@attribute privacy {2.0,7-10,3-4,21-64,11-20,5-6}
@attribute pos numeric
@attribute attitude numeric

@data
1,female,21-24,Single,2.0,1,0
2,female,21-24,Single,2.0,1,0
3,female,21-24,Single,2.0,1,0
4,female,21-24,Single,2.0,1,0
5,female,21-24,Single,2.0,1,0
6,female,21-24,Single,2.0,1,0
7,female,21-24,Single,2.0,1,0
8,female,21-24,Single,2.0,2,1
9,female,21-24,Single,2.0,1,0
10,female,21-24,Single,2.0,1,0
11,female,21-24,Single,2.0,1,0
12,female,21-24,Single,2.0,1,0
13,female,21-24,Single,2.0,2,1
14,female,21-24,Single,2.0,1,0
15,female,21-24,Single,2.0,1,0
16,female,21-24,Single,2.0,2,1
17,female,21-24,Single,2.0,1,0
18,female,21-24,Single,2.0,1,0
19,female,21-24,Single,2.0,1,0
20,female,21-24,Single,2.0,2,1
21,female,21-24,Single,2.0,1,0
22,female,21-24,Single,2.0,1,0
23,female,21-24,Single,2.0,1,0
24,female,21-24,Single,2.0,1,0
25,female,21-24,Single,2.0,1,-1
26,female,21-24,Single,2.0,1,0
27,female,21-24,Single,2.0,1,0
28,female,21-24,Single,2.0,1,0
29,female,21-24,Single,2.0,2,1
30,female,21-24,Single,2.0,2,1
31,female,21-24,Single,2.0,2,1
32,female,21-24,Single,2.0,1,0
33,female,21-24,Single,2.0,1,0
34,female,21-24,Single,2.0,1,0
35,female,21-24,Single,2.0,1,0
36,female,21-24,Single,2.0,1,0
37,female,21-24,Single,2.0,1,0
38,female,21-24,Single,2.0,1,0
39,female,21-24,Single,2.0,1,0
40,female,21-24,Single,2.0,1,0
41,female,21-24,Single,2.0,1,0
42,female,21-24,Single,2.0,2,1
43,female,21-24,Single,2.0,1,0
44,female,21-24,Single,2.0,2,1
45,female,21-24,Single,2.0,2,1
46,female,21-24,Single,2.0,1,0
47,female,21-24,Single,2.0,1,0
48,female,21-24,Single,2.0,1,0
49,female,21-24,Single,2.0,3,2
50,female,21-24,Single,2.0,1,0
51,female,21-24,Single,2.0,2,1
52,female,21-24,Single,2.0,2,1
53,female,21-24,Single,2.0,2,1
54,female,21-24,Single,2.0,2,1
55,female,21-24,Single,2.0,2,1
56,female,21-24,Single,2.0,1,0
57,female,21-24,Single,2.0,1,0
58,female,21-24,Single,2.0,1,0
59,female,21-24,Single,2.0,1,0
60,female,21-24,Single,2.0,1,0
61,female,21-24,Single,2.0,1,0
62,female,21-24,Single,2.0,1,0
63,female,21-24,Single,2.0,1,0
64,female,21-24,Single,2.0,1,0
65,female,21-24,Single,2.0,1,0
66,female,21-24,Single,2.0,1,0
67,female,21-24,Single,2.0,2,1
68,female,21-24,Single,7-10,1,0
69,female,21-24,Single,7-10,1,0
70,female,21-24,Single,7-10,1,0
71,male,33-36,Single,2.0,1,0
72,male,33-36,Single,2.0,1,0
73,male,33-36,Single,2.0,1,0
74,female,21-24,Single,2.0,1,0
75,female,21-24,Single,2.0,1,0
76,female,21-24,Single,2.0,1,0
77,male,33-36,Single,2.0,1,0
78,male,33-36,Single,2.0,2,1
79,male,33-36,Single,2.0,2,1
80,male,33-36,Single,2.0,2,1
81,male,33-36,Single,2.0,1,0
82,female,21-24,Single,2.0,1,0
83,male,33-36,Single,2.0,2,1
84,male,33-36,Single,2.0,1,0
85,female,21-24,Single,2.0,2,0
86,male,33-36,Single,2.0,1,0
87,female,21-24,Single,2.0,2,1
88,female,21-24,Single,2.0,1,0
89,female,21-24,Single,2.0,1,0
90,female,21-24,Single,2.0,1,0
91,female,21-24,Single,2.0,1,0
92,female,21-24,Single,2.0,1,0
93,female,21-24,Single,2.0,1,0
94,female,21-24,Single,2.0,1,0
95,female,21-24,Single,2.0,1,0
